num,dep,arr
C6885,GZQ,ZVQ
C6886,ZVQ,GZQ
C6887,GZQ,ZVQ
C6889,GZQ,ZVQ
C6890,ZVQ,GZQ
C6891,GZQ,ZVQ
C6892,ZVQ,GZQ
C6901,CSQ,XTQ
C6902,XTQ,CSQ
C6903,CSQ,XTQ
C6904,XTQ,CSQ
C6905,CSQ,XTQ
C6906,XTQ,CSQ
C6907,CSQ,XTQ
C6908,XTQ,CSQ
C6909,CSQ,XTQ
C6910,XTQ,CSQ
C6911,CSQ,XTQ
C6912,XTQ,CSQ
C6913,CSQ,XTQ
C6914,XTQ,CSQ
C6915,CSQ,XTQ
C6916,XTQ,CSQ
C6917,CSQ,XTQ
C6918,XTQ,CSQ
C6919,CSQ,XTQ
C6920,XTQ,CSQ
C6921,CSQ,XTQ
C6922,XTQ,CSQ
C6923,CSQ,XTQ
C6924,XTQ,CSQ
C6925,CSQ,XTQ
C6926,XTQ,CSQ
C6927,CSQ,XTQ
C6928,XTQ,CSQ
C6929,CSQ,XTQ
C6930,XTQ,CSQ
C6931,CSQ,XTQ
C6932,XTQ,CSQ
C6933,CSQ,XTQ
C6934,XTQ,CSQ
C6935,CSQ,XTQ
C6936,XTQ,CSQ
C6937,CSQ,XTQ
C6938,XTQ,CSQ
C6939,CSQ,XTQ
C6940,XTQ,CSQ
C6941,CSQ,XTQ
C6942,XTQ,CSQ
C6944,XTQ,CSQ
C6946,XTQ,RXQ
C6947,XTQ,RXQ
C6951,RXQ,XTQ
C6952,XTQ,RXQ
C6953,XTQ,RXQ
C6954,RXQ,XTQ
C6955,RXQ,XTQ
C6956,XTQ,RXQ
C6957,XTQ,RXQ
C6958,RXQ,XTQ
C6959,RXQ,XTQ
C6960,XTQ,RXQ
C6961,XTQ,RXQ
C6962,RXQ,XTQ
C6963,RXQ,XTQ
C6964,XTQ,RXQ
C6965,XTQ,RXQ
C6966,RXQ,XTQ
C6967,RXQ,XTQ
C6968,XTQ,RXQ
C6969,XTQ,RXQ
C6970,RXQ,XTQ
C6971,RXQ,XTQ
C6972,XTQ,RXQ
C6973,XTQ,RXQ
C6974,RXQ,XTQ
C6975,RXQ,XTQ
C6976,XTQ,RXQ
C6977,XTQ,RXQ
C6978,RXQ,XTQ
C6979,RXQ,XTQ
C6980,XTQ,RXQ
C6981,XTQ,RXQ
C6982,RXQ,XTQ
C6983,RXQ,XTQ
C6984,XTQ,RXQ
C6985,XTQ,RXQ
C6986,RXQ,XTQ
C6987,RXQ,XTQ
C6988,XTQ,RXQ
C6989,XTQ,RXQ
C6990,RXQ,XTQ
C6991,RXQ,XTQ
C6992,XTQ,RXQ
C6993,XTQ,RXQ
C6994,RXQ,XTQ
C6995,RXQ,XTQ
C6996,XTQ,RXQ
C6997,XTQ,RXQ
C6998,RXQ,XTQ
C7012,SZQ,GGQ
C7037,GGQ,SZQ
C7038,SZQ,GGQ
C7039,GGQ,SZQ
C7043,GGQ,SZQ
C7044,SZQ,GGQ
C7087,GGQ,SZQ
C7088,SZQ,GGQ
C7089,GGQ,SZQ
C7090,SZQ,GGQ
C7119,GGQ,SZQ
C7120,SZQ,GGQ
C7121,GGQ,SZQ
C7122,SZQ,GGQ
C7123,GGQ,SZQ
C7124,SZQ,GGQ
C7158,SZQ,GGQ
C7159,GGQ,SZQ
C7169,GGQ,SZQ
C7189,GGQ,SZQ
C7190,SZQ,GGQ
C7191,GGQ,SZQ
C7192,SZQ,GGQ
C7193,GGQ,SZQ
C7194,SZQ,GGQ
C7195,GGQ,SZQ
C7196,SZQ,GGQ
C7197,GGQ,SZQ
C7198,SZQ,GGQ
C7200,SZQ,GGQ
C7229,IZQ,EFQ
C7231,IZQ,EFQ
C7232,EFQ,IZQ
C7233,IZQ,EFQ
C7234,EFQ,IZQ
C7235,IZQ,EFQ
C7237,IZQ,EFQ
C7238,EFQ,IZQ
C7239,IZQ,EFQ
C7240,EFQ,IZQ
C7241,IZQ,EFQ
C7242,EFQ,IZQ
C7243,IZQ,EFQ
C7244,EFQ,IZQ
C7245,IZQ,EFQ
C7246,EFQ,IZQ
C7259,IZQ,EFQ
C7260,EFQ,IZQ
C7328,SEQ,HMQ
C7333,HMQ,SEQ
C7340,SEQ,HMQ
C7345,HMQ,SEQ
C7431,HMQ,SEQ
C7433,HMQ,SEQ
C7434,HMQ,SEQ
C7503,RRQ,NKQ
C7504,NKQ,RRQ
C7506,NKQ,RRQ
C7507,RRQ,NKQ
C7508,NKQ,RRQ
C7511,RRQ,NKQ
C7512,NKQ,RRQ
C7513,RRQ,NKQ
C7515,RRQ,NKQ
C7516,NKQ,RRQ
C7519,RRQ,NKQ
C7520,NKQ,RRQ
C7522,NKQ,RRQ
C7523,RRQ,NKQ
C7524,NKQ,RRQ
C7527,RRQ,NKQ
C7528,NKQ,RRQ
C7529,RRQ,NKQ
C7531,RRQ,NKQ
C7532,NKQ,RRQ
C7535,RRQ,NKQ
C7536,NKQ,RRQ
C7538,NKQ,RRQ
C7539,RRQ,NKQ
C7540,NKQ,RRQ
C7543,RRQ,NKQ
C7544,NKQ,RRQ
C7545,RRQ,NKQ
C7547,RRQ,NKQ
C7548,NKQ,RRQ
C7551,RRQ,NKQ
C7552,NKQ,RRQ
C7554,NKQ,RRQ
C7555,RRQ,NKQ
C7556,NKQ,RRQ
C7559,RRQ,NKQ
C7613,IZQ,ZHQ
C7614,ZHQ,IZQ
C7615,IZQ,ZHQ
C7616,ZHQ,IZQ
C7647,IZQ,ZHQ
C7648,ZHQ,IZQ
C7677,IZQ,ZHQ
C7678,ZHQ,IZQ
C7679,IZQ,ZHQ
C7680,ZHQ,IZQ
C7681,IZQ,ZHQ
C7682,ZHQ,IZQ
C7699,IZQ,ZHQ
C7700,ZHQ,IZQ
C7701,IZQ,ZHQ
C7702,ZHQ,IZQ
C7715,IZQ,ZHQ
C7716,ZHQ,IZQ
C7717,IZQ,ZHQ
C7718,ZHQ,IZQ
C7719,IZQ,ZHQ
C7720,ZHQ,IZQ
C7721,IZQ,ZHQ
C7722,ZHQ,IZQ
C7725,IZQ,ZHQ
C7726,ZHQ,IZQ
C7727,IZQ,ZHQ
C7728,ZHQ,IZQ
C7729,IZQ,ZHQ
C7730,ZHQ,IZQ
C7801,CSQ,KVQ
C7802,KVQ,CSQ
C7803,CSQ,KVQ
C7804,KVQ,CSQ
C7805,CSQ,KVQ
C7806,KVQ,CSQ
C7807,CSQ,KVQ
C7808,KVQ,CSQ
C7809,CSQ,KVQ
C7810,KVQ,CSQ
C7811,CSQ,KVQ
C7812,KVQ,CSQ
C7813,CSQ,KVQ
C7814,KVQ,CSQ
C7815,CSQ,KVQ
C7816,KVQ,CSQ
C7817,CSQ,KVQ
C7818,KVQ,CSQ
C7819,CSQ,KVQ
C7820,KVQ,CSQ
C7821,CSQ,KVQ
C7822,KVQ,CSQ
C7823,CSQ,KVQ
C7824,KVQ,CSQ
C7825,CSQ,KVQ
C7826,KVQ,CSQ
C7827,CSQ,KVQ
C7828,KVQ,CSQ
C7829,CSQ,KVQ
C7830,KVQ,CSQ
C7831,CSQ,KVQ
C7832,KVQ,CSQ
C7833,CSQ,KVQ
C7834,KVQ,CSQ
C7835,CSQ,KVQ
C7836,KVQ,CSQ
C7837,CSQ,KVQ
C7838,KVQ,CSQ
C7839,CSQ,KVQ
C7840,KVQ,CSQ
C7841,CSQ,KVQ
C7842,KVQ,CSQ
C7843,CSQ,KVQ
C7844,KVQ,CSQ
C7846,KVQ,CSQ
C7848,KVQ,CSQ
C7851,RXQ,KVQ
C7852,KVQ,RXQ
C7853,KVQ,RXQ
C7854,RXQ,KVQ
C7855,RXQ,KVQ
C7856,KVQ,RXQ
C7857,KVQ,RXQ
C7858,RXQ,KVQ
C7859,RXQ,KVQ
C7860,KVQ,RXQ
C7861,KVQ,RXQ
C7862,RXQ,KVQ
C7863,RXQ,KVQ
C7864,KVQ,RXQ
